Tier,Genre,Ethnicity,Client_Tag,Creator_Name,TikTok_URL,HitVideos_URL,Hit_Keywords,Followers,Hit_Videos,Median_Views,Engagement_Rate,Vibe_Cluster_Hint,Region_Type
B,FOOD,ASIA,zstea,ohshesjazmin,https://www.tiktok.com/@ohshesjazmin,https://www.tiktok.com/@ohshesjazmin/video/7567303702109850911,Wagyu Burger Tokyo Review,17800,1,54800,2.38,General,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,sashbishtattoos,https://www.tiktok.com/@sashbishtattoos,https://www.tiktok.com/@sashbishtattoos/video/7579443447451503927,Tattoo Friendly Sauna Info,923,1,37900,2.37,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,wakupaku,eatplaylovesg,https://www.tiktok.com/@eatplaylovesg,https://www.tiktok.com/@eatplaylovesg/video/7583300582279007508,Family Friendly Japan,188,1,228900,2.37,Luxury,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,naomikatoo,https://www.tiktok.com/@naomikatoo,https://www.tiktok.com/@naomikatoo/video/7543260468912131348,Tokyo DIY Workshop,7172,1,5230,2.37,Traditional/Zen,Tabimae (US focus)
B,TRAVEL,ASIA,nots,becfic,https://www.tiktok.com/@becfic,https://www.tiktok.com/@becfic/video/7595396338699865375,#japantravelguide,5822,1,63200,2.37,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,rafa_r34skyline,https://www.tiktok.com/@rafa_r34skyline,https://www.tiktok.com/@rafa_r34skyline/video/7481929233132997896,JDM Tokyo,439700,1,14300000,2.34,General,Global
B,BEAUTY,ASIA,cafune,sabou_a,https://www.tiktok.com/@sabou_a,https://www.tiktok.com/@sabou_a/video/7503212810915171630,Luxury Beauty Experience Japan,451,1,6922,2.34,Luxury,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,sabou_a,https://www.tiktok.com/@sabou_a,https://www.tiktok.com/@sabou_a/video/7503212810915171630,Luxury Spa Japan,450,1,6913,2.34,Luxury,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,wakupaku,shailoria,https://www.tiktok.com/@shailoria,https://www.tiktok.com/@shailoria/video/7499642998192426247,Cultural Workshop Tokyo,21300,1,7713,2.32,Traditional/Zen,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,foratravel,https://www.tiktok.com/@foratravel,https://www.tiktok.com/@foratravel/video/7517756275699059998,Best Wellness Tokyo,288600,1,10600,2.32,Luxury,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,travel.japan_together,https://www.tiktok.com/@travel.japan_together,https://www.tiktok.com/@travel.japan_together/video/7507943332996320530,Tokyo Hidden Gem Lunch,114200,1,12000,2.31,Hidden Gem,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,rivantaaaaaaaaa,https://www.tiktok.com/@rivantaaaaaaaaa,https://www.tiktok.com/@rivantaaaaaaaaa/video/7491690985177582856,#japansliceoflife,1281,1,252400,2.31,Kawaii,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,halal.ikebukuro,https://www.tiktok.com/@halal.ikebukuro,https://www.tiktok.com/@halal.ikebukuro/video/7556246194649894151,Muslim Friendly Tokyo Guide,1798,1,52900,2.31,Luxury,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,spicy.edamami,https://www.tiktok.com/@spicy.edamami,https://www.tiktok.com/@spicy.edamami/video/7499201917428436270,Tokyo Solo Female Travel,7945,1,24100,2.31,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,povextrovert,https://www.tiktok.com/@povextrovert,https://www.tiktok.com/@povextrovert/video/7559239855390100749,#povjapan,378500,1,14000000,2.31,Kawaii,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,tabibiyori,https://www.tiktok.com/@tabibiyori,https://www.tiktok.com/@tabibiyori/video/7514661661907635474,Akihabara Hidden Gems,25800,1,3830,2.3,Hidden Gem,Global
B,BEAUTY,ASIA,cafune,aikaagustin,https://www.tiktok.com/@aikaagustin,https://www.tiktok.com/@aikaagustin/video/7556935118934379794,PrivateSalonTokyo,71000,1,479500,2.3,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,find_sugoi,https://www.tiktok.com/@find_sugoi,https://www.tiktok.com/@find_sugoi/video/7612642441681767696,#hiddengemsjapan,39,1,3292,2.28,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,hajrella,https://www.tiktok.com/@hajrella,https://www.tiktok.com/@hajrella/video/7565547097601395990,JapaneseManicure,12000,1,202700,2.27,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,fun_travel_japan,https://www.tiktok.com/@fun_travel_japan,https://www.tiktok.com/@fun_travel_japan/video/7514255798604696839,Shibuya Hidden Gems,68300,1,19700,2.27,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,luxuwell.japan,https://www.tiktok.com/@luxuwell.japan,https://www.tiktok.com/@luxuwell.japan/video/7513020601498373384,Shibuya Hidden Gems,13200,1,5273,2.26,Hidden Gem,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,andreas.papastavr,https://www.tiktok.com/@andreas.papastavr,https://www.tiktok.com/@andreas.papastavr/video/7556710977765395715,Tokyo Night Drive,88,1,32300,2.26,Urban/Street,Global
B,FOOD,ASIA,zstea,eyd1e_,https://www.tiktok.com/@eyd1e_,https://www.tiktok.com/@eyd1e_/video/7562814354140204301,Tokyo Hidden Gem Lunch,1012,1,17400,2.25,Hidden Gem,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,abbeychristensen,https://www.tiktok.com/@abbeychristensen,https://www.tiktok.com/@abbeychristensen/video/7516872992547278102,Shinjuku Gyoen Food Guide,11000,1,72300,2.25,Hidden Gem,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,hiddengem.japan,https://www.tiktok.com/@hiddengem.japan,https://www.tiktok.com/@hiddengem.japan/video/7499831850001550610,#hiddengemsjapan,327,1,3832,2.24,Hidden Gem,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,carlytravely,https://www.tiktok.com/@carlytravely,https://www.tiktok.com/@carlytravely/video/7494190260432178454,Luxury Spa Japan,46800,1,22100,2.22,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,gj_ranl,https://www.tiktok.com/@gj_ranl,https://www.tiktok.com/@gj_ranl/video/7595541407935270152,Tokyo Night Drive,619,1,73300,2.21,Urban/Street,Tabimae (US focus)
B,BEAUTY,ASIA,cafune,velvetgloww1,https://www.tiktok.com/@velvetgloww1,https://www.tiktok.com/@velvetgloww1/video/7597587198640180535,JapaneseManicure,255400,1,120600,2.21,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,emjapan,https://www.tiktok.com/@emjapan,https://www.tiktok.com/@emjapan/video/7577127063526673682,English Friendly Tokyo Guide,4273,1,25200,2.21,General,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,keluargadianaa,https://www.tiktok.com/@keluargadianaa,https://www.tiktok.com/@keluargadianaa/video/7537079644806188309,Shinjuku Gyoen Food Guide,911,1,11400,2.2,Luxury,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,yi_.mu,https://www.tiktok.com/@yi_.mu,https://www.tiktok.com/@yi_.mu/video/7571778275597405462,#japansliceoflife,83500,1,9700000,2.2,General,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,ka1s.life,https://www.tiktok.com/@ka1s.life,https://www.tiktok.com/@ka1s.life/video/7490965682885004574,Late Night Things To Do,5056,1,29100,2.19,Urban/Street,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,maineybiernas,https://www.tiktok.com/@maineybiernas,https://www.tiktok.com/@maineybiernas/video/7548815275173432583,"Relaxing Spots in Tokyo, Best Wellness Tokyo",81700,1,28500,2.19,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,cidkagenouuh,https://www.tiktok.com/@cidkagenouuh,https://www.tiktok.com/@cidkagenouuh/video/7515610235134938376,Tokyo Night Drive,1247,1,523400,2.18,Urban/Street,Global
B,LIFESTYLE,ASIA,nots,slowlifeofmiy,https://www.tiktok.com/@slowlifeofmiy,https://www.tiktok.com/@slowlifeofmiy/video/7525756037102603542,#japanesecountryside,30600,1,12400000,2.15,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,tamaki_nakajima_okinawa,https://www.tiktok.com/@tamaki_nakajima_okinawa,https://www.tiktok.com/@tamaki_nakajima_okinawa/video/7495742367761304850,#japanesecountryside,14400,1,569100,2.14,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,zoevya,https://www.tiktok.com/@zoevya,https://www.tiktok.com/@zoevya/video/7530312402353573142,#japanesecountryside,157300,1,14100,2.11,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,briangremlin,https://www.tiktok.com/@briangremlin,https://www.tiktok.com/@briangremlin/video/7486622477758532895,Luxury Beauty Experience Japan,23300,1,89000,2.09,Luxury,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,sezooblanco,https://www.tiktok.com/@sezooblanco,https://www.tiktok.com/@sezooblanco/video/7554356557153111318,Shibuya Hidden Gems,10500,1,79900,2.08,Hidden Gem,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,tourjapanofficial,https://www.tiktok.com/@tourjapanofficial,https://www.tiktok.com/@tourjapanofficial/video/7521118183932071176,#hiddengemsjapan,4392,1,22700,2.07,Hidden Gem,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,eliashernandez967,https://www.tiktok.com/@eliashernandez967,https://www.tiktok.com/@eliashernandez967/video/7594803529575976222,"Tokyo Car Meet, JDM Tokyo",912,1,32500,2.06,Urban/Street,Global
B,EXPERIENCE,ASIA,tokyosauna,ohhisam69,https://www.tiktok.com/@ohhisam69,https://www.tiktok.com/@ohhisam69/video/7539583436613373214,Late Night Things To Do,272700,1,152300,2.03,Cinematic,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,tymiisu,https://www.tiktok.com/@tymiisu,https://www.tiktok.com/@tymiisu/video/7486781939052006674,Best Halal Wagyu Tokyo,157,1,13200,2.02,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,oanasteph0,https://www.tiktok.com/@oanasteph0,https://www.tiktok.com/@oanasteph0/video/7518024418421968136,Shibuya Hidden Gems,3034,1,13400,2.02,Hidden Gem,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,ellii001,https://www.tiktok.com/@ellii001,https://www.tiktok.com/@ellii001/video/7577809101506350358,Relaxing Spots in Tokyo,346,1,50500,2.01,Hidden Gem,Tabinaka (JP focus)
